episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_3_greedy_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_4_greedy_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_5_greedy_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy,agent_RL_Agent_6_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
84,136799714.7199636,0.7229,0.7229,283377712.73423016,0.6946,0.6946,588215491.7045038,0.7077,0.7077,331035374.92484117,0.717,0.717,141774690.5130687,0.6431,0.6431,342932473.5161403,0.6465,0.6465,245006279.81225792,0.7366,0.7366,1105527454.6894317,-0.0,754453079.869508,0.4312
85,136024914.80392402,0.7294,0.7294,261969207.32826313,0.7055,0.7055,578993186.1638238,0.7186,0.7186,329113846.8753593,0.7161,0.7161,117669650.78543414,0.6571,0.6571,331402446.0732723,0.661,0.661,211651667.51599854,0.7402,0.7402,1100540727.7917113,-0.0,702347941.927075,0.4312
86,132520579.12011272,0.7307,0.7307,259266199.2646659,0.7007,0.7007,569308758.8958008,0.7171,0.7171,328389045.39063966,0.7125,0.7125,110336637.71803957,0.6512,0.6512,323015124.3602118,0.6563,0.6563,207681992.32262394,0.7333,0.7333,1080626085.8156188,-0.0,641432854.374707,0.4312
87,122553713.95610815,0.7337,0.7337,249138352.1711516,0.7017,0.7017,519468915.31905615,0.7194,0.7194,327412717.4885053,0.7052,0.7052,105924064.48674439,0.6516,0.6516,309419883.1334268,0.6527,0.6527,202256789.6500311,0.7305,0.7305,1020822292.49462,-0.0,552651660.2027026,0.4312
88,96286771.77558725,0.7278,0.7278,187889519.88697612,0.6975,0.6975,392032645.8363855,0.7218,0.7218,275866494.672944,0.6933,0.6933,84154758.30695973,0.6539,0.6539,239591236.09181115,0.6551,0.6551,150380108.44861388,0.7277,0.7277,650696089.7837396,-0.0,364450826.2376319,0.4316
89,72617303.09125414,0.7233,0.7233,173663971.799408,0.6928,0.6928,276271034.664112,0.7173,0.7173,159808761.42601672,0.6887,0.6887,64873334.553638294,0.6533,0.6533,142621897.11974114,0.6566,0.6566,133952069.35094564,0.7223,0.7223,422272759.9457639,-0.0,275383287.6823788,0.4317
90,64500941.956183754,0.728,0.728,184330429.28899187,0.6968,0.6968,226414974.091437,0.7201,0.7201,114868463.31774507,0.6873,0.6873,73541440.12286593,0.6591,0.6591,104545234.33006337,0.6611,0.6611,134381953.95765504,0.7237,0.7237,310463219.2001301,-0.0,267559616.4180934,0.4316
91,62378327.89294915,0.7235,0.7235,196982456.46191528,0.6991,0.6991,183434058.27070868,0.7164,0.7164,94229459.9043561,0.6819,0.6819,92043714.9228371,0.6594,0.6594,93019466.75215718,0.6613,0.6613,147762768.33232158,0.7223,0.7223,263040098.50017577,-0.0,312536503.13230276,0.4312
92,108924460.95626256,0.7167,0.7167,300079773.037754,0.6905,0.6905,372930131.23663914,0.7096,0.7096,157276643.41142267,0.6724,0.6724,144613619.88587812,0.6579,0.6579,195288383.59523135,0.6537,0.6537,251064666.75296026,0.7153,0.7153,608075978.0665487,-0.0,589273119.2580814,0.4312
93,173886921.93136677,0.7063,0.7063,487465621.6752987,0.6797,0.6797,716500960.105707,0.707,0.707,300441493.84361774,0.659,0.659,228714319.26818383,0.6586,0.6586,367215967.63104033,0.649,0.649,415391323.5474685,0.7028,0.7028,1264649702.3277147,-0.0,972746340.2231319,0.4312
94,244019591.23799545,0.7054,0.7054,665478786.6778895,0.672,0.672,968780828.6555524,0.7064,0.7064,466351410.6127621,0.6476,0.6476,293581945.23805356,0.6651,0.6651,530616338.5918474,0.6457,0.6457,542436704.9425099,0.6936,0.6936,1798659860.3348594,-0.0,1383610706.8657682,0.4312
95,293956793.94080377,0.6991,0.6991,735667977.457339,0.6594,0.6594,1136218186.1619444,0.7056,0.7056,604959639.1829461,0.6302,0.6302,336757693.787659,0.6637,0.6637,618157579.3358709,0.6359,0.6359,603239048.4603825,0.6788,0.6788,2178444701.2531023,-0.0,1589557593.6396387,0.4316
96,309380607.8088009,0.7034,0.7034,652662943.8875301,0.6667,0.6667,1074241120.5183961,0.7089,0.7089,652867401.9391466,0.6315,0.6315,313235888.5580207,0.6721,0.6721,609270447.2450964,0.6459,0.6459,525969414.889718,0.6847,0.6847,2109362874.0781505,-0.0,1628517872.2628374,0.4317
97,307697264.08340234,0.7067,0.7067,603974931.9379284,0.6707,0.6707,1040077532.6872914,0.7088,0.7088,720409291.7590224,0.632,0.632,302192005.2225783,0.6749,0.6749,622892405.4087838,0.6473,0.6473,469009015.1360632,0.6898,0.6898,2143211121.4179282,-0.0,1604444460.8774145,0.4316
98,313929917.08245647,0.7072,0.7072,555340364.5257571,0.6743,0.6743,1004285799.3723505,0.7055,0.7055,761573707.8257319,0.6269,0.6269,278034528.46466416,0.6749,0.6749,619203652.1266966,0.6478,0.6478,432579248.4989013,0.6905,0.6905,2068155060.702483,-0.0,1454274281.996065,0.4312
99,280461109.08653146,0.7075,0.7075,476390503.5453555,0.6849,0.6849,881025966.7496479,0.7139,0.7139,734479191.491057,0.6378,0.6378,233064296.0547505,0.6836,0.6836,544917304.9546866,0.6491,0.6491,358507159.5245032,0.6999,0.6999,1816718606.4168715,-0.0,1194995883.1058364,0.4312
100,244184756.87335843,0.7128,0.7128,418580560.9349706,0.6983,0.6983,702042770.4829881,0.7187,0.7187,659496788.1607684,0.6491,0.6491,208415950.82910997,0.6932,0.6932,468589366.77774173,0.6604,0.6604,292067782.8698072,0.7156,0.7156,1582275662.0998595,-0.0,1008423282.2264593,0.4312
101,189998994.01949024,0.7065,0.7065,329966345.8528752,0.7028,0.7028,540452337.8736175,0.7172,0.7172,544554741.4000458,0.6537,0.6537,173290493.817699,0.6984,0.6984,377335341.4574353,0.6666,0.6666,237208303.21756175,0.7199,0.7199,1237095089.5641956,-0.0,758531890.1618085,0.4312
102,140545047.22689337,0.7101,0.7101,264580886.25631177,0.7045,0.7045,395635028.5572835,0.718,0.718,418105070.2989452,0.6629,0.6629,153007073.69441465,0.6963,0.6963,273805313.794358,0.6665,0.6665,181648884.14553797,0.7225,0.7225,930114473.3131613,-0.0,560133498.0425569,0.4316
103,110143130.7218809,0.7147,0.7147,254014655.42052305,0.7012,0.7012,337859907.98906463,0.7215,0.7215,323368793.56282544,0.6636,0.6636,148897182.09589145,0.6955,0.6955,216626558.5334708,0.668,0.668,179499167.4619021,0.7222,0.7222,784435116.974114,-0.0,505731000.7647488,0.4317
104,65794693.4528644,0.7175,0.7175,236660808.02568772,0.6956,0.6956,279533844.608731,0.7223,0.7223,221683209.26932713,0.6693,0.6693,150913779.48333663,0.6906,0.6906,144970266.5187135,0.6668,0.6668,178239656.66741806,0.718,0.718,592479280.8339168,-0.0,427663861.1663046,0.4316
105,42007928.22843779,0.716,0.716,228336042.87120503,0.6904,0.6904,252210651.3777844,0.7217,0.7217,143173943.83755687,0.6682,0.6682,168971452.71098825,0.6891,0.6891,86455025.68993966,0.6657,0.6657,193254337.40048313,0.7158,0.7158,511018442.9894462,-0.0,457141910.8824953,0.4312
106,45752903.874820426,0.7154,0.7154,270633230.4493052,0.695,0.695,302344941.1995364,0.7231,0.7231,145679310.10626644,0.6707,0.6707,192445818.83814427,0.6848,0.6848,103432470.12489675,0.6678,0.6678,246363441.2261991,0.7122,0.7122,629586773.2426211,-0.0,585146486.7983588,0.4312
107,71574417.87550125,0.7105,0.7105,338747863.7384129,0.6891,0.6891,373410618.1653614,0.7173,0.7173,253940927.3496671,0.6714,0.6714,228757917.0439418,0.6782,0.6782,148322608.6839795,0.6634,0.6634,306571449.9961761,0.71,0.71,735551073.1729043,-0.0,665802501.416961,0.4312
108,81917860.21388546,0.7068,0.7068,305880083.42248577,0.6776,0.6776,360746528.72984695,0.7121,0.7121,345102507.84460664,0.6699,0.6699,214425998.81939662,0.6709,0.6709,169731568.75009492,0.6547,0.6547,280138862.2266343,0.7002,0.7002,714554266.3790482,-0.0,635651914.1471226,0.4312
109,83626618.38106054,0.7049,0.7049,243580077.4939019,0.6719,0.6719,302296302.9825767,0.7099,0.7099,389224970.84893805,0.6716,0.6716,181884645.33112356,0.6689,0.6689,164584435.1436449,0.653,0.653,237219260.5281219,0.7009,0.7009,642338714.802055,-0.0,571841660.2476201,0.4316
110,70088853.66277924,0.701,0.701,205775373.22574288,0.6649,0.6649,261156011.52176666,0.7082,0.7082,400699300.9581149,0.6668,0.6668,154521579.80208895,0.6658,0.6658,152566148.27324226,0.6473,0.6473,199507966.45617703,0.6949,0.6949,568091952.9625913,-0.0,457906118.4258287,0.4317
111,58286754.65978105,0.7042,0.7042,145908549.22979477,0.6689,0.6689,219967292.57828733,0.7104,0.7104,323759867.46552444,0.6669,0.6669,94400152.2059958,0.6669,0.6669,116403863.02233261,0.6526,0.6526,172198035.31906125,0.6948,0.6948,424994598.7864473,-0.0,291869931.98274785,0.4316
112,43405970.71096365,0.7144,0.7144,123496537.88774839,0.6719,0.6719,170636068.7743835,0.7169,0.7169,248661325.52913585,0.6643,0.6643,62834438.61630763,0.6695,0.6695,91577747.53434445,0.6576,0.6576,140632385.98965824,0.6953,0.6953,325621292.66974366,-0.0,187755720.9038967,0.4312
113,36448172.35493424,0.7193,0.7193,128390652.37394081,0.6716,0.6716,165010336.2670264,0.7235,0.7235,207670366.1730095,0.6672,0.6672,67437850.79614754,0.6714,0.6714,91894643.8361082,0.6604,0.6604,138452172.39893556,0.7013,0.7013,366741509.4106589,-0.0,209965358.57579187,0.4312
114,28734898.162116125,0.7101,0.7101,148664556.79028845,0.6517,0.6517,180347779.20891163,0.7211,0.7211,177635356.46649048,0.6452,0.6452,84489183.13878551,0.6646,0.6646,85175429.095043,0.6453,0.6453,138482513.9877451,0.6815,0.6815,451433377.8632939,-0.0,264770264.28670532,0.4312
115,24445150.165804822,0.7084,0.7084,171055438.88591483,0.6416,0.6416,214902878.03073537,0.7201,0.7201,176792080.6544584,0.6345,0.6345,109513144.70219706,0.6528,0.6528,81766739.53629895,0.6361,0.6361,146742784.1481152,0.6705,0.6705,529786007.9412356,-0.0,337702967.5000452,0.4312
116,19452465.649375048,0.7091,0.7091,185260743.31632036,0.6444,0.6444,232211918.4543277,0.7224,0.7224,177349553.44063637,0.6317,0.6317,129466696.6971458,0.6572,0.6572,79648592.98580551,0.6403,0.6403,144794076.27923286,0.6732,0.6732,574398473.3146561,-0.0,361333664.9862912,0.4316
117,15840428.28318249,0.7018,0.7018,196338069.97462702,0.6351,0.6351,247813549.97210872,0.7155,0.7155,175752684.71776944,0.6282,0.6282,137468897.66400573,0.6501,0.6501,76003895.9391511,0.6334,0.6334,151610812.72512472,0.667,0.667,600125499.9460223,-0.0,383911076.01377577,0.4317
118,13393162.714021476,0.7017,0.7017,208625456.91636807,0.6362,0.6362,256480166.13162947,0.7148,0.7148,145069586.4272064,0.6252,0.6252,143017098.07610232,0.6535,0.6535,70351693.20534039,0.6332,0.6332,159265362.90570706,0.6696,0.6696,647581197.4975932,-0.0,411075711.85456747,0.4316
119,15068714.475159764,0.7037,0.7037,225406662.9094333,0.6482,0.6482,265297983.49833897,0.7199,0.7199,141630789.80220097,0.6294,0.6294,147690741.72140145,0.6611,0.6611,72119862.2231815,0.6394,0.6394,168257552.74777257,0.6721,0.6721,664249443.8198037,-0.0,441339105.902179,0.4312
120,20307166.755205955,0.7022,0.7022,233781335.4032844,0.6528,0.6528,274308297.49074364,0.7212,0.7212,149162525.06100953,0.6265,0.6265,151770804.08023685,0.6705,0.6705,83776533.88500923,0.6471,0.6471,178503501.88224348,0.6792,0.6792,670722617.4640663,-0.0,452042804.4625727,0.4312
121,19992252.189794715,0.6986,0.6986,167423733.85307857,0.6482,0.6482,196470287.46600792,0.7181,0.7181,147378685.21040562,0.6274,0.6274,115321072.79474257,0.6709,0.6709,74226126.55440715,0.6449,0.6449,131904598.05970195,0.6777,0.6777,541928225.4804747,-0.0,385104976.9579535,0.4312
122,20917962.46559763,0.6943,0.6943,104737212.86940077,0.6502,0.6502,126706419.85262775,0.7166,0.7166,120432812.5715349,0.6203,0.6203,84231348.94768697,0.6724,0.6724,48106571.66928172,0.6425,0.6425,96537937.1998687,0.6795,0.6795,373570845.8912848,-0.0,300407506.45218843,0.4312
123,20927685.46048583,0.691,0.691,38757504.5087928,0.6463,0.6463,42272610.61108319,0.7137,0.7137,86455235.5895264,0.6141,0.6141,34288557.86987945,0.6707,0.6707,19598177.602356266,0.6403,0.6403,39896220.620333366,0.6757,0.6757,109148064.25741594,-0.0,182561056.66822067,0.4316
124,22943844.270089123,0.6921,0.6921,33766938.30858816,0.6501,0.6501,27435979.730680425,0.7131,0.7131,41879654.00444441,0.6147,0.6147,20082714.11707098,0.6735,0.6735,12391664.793740513,0.6442,0.6442,32752505.95996882,0.6795,0.6795,82613398.76144522,-0.0,142680596.71680564,0.4317
125,22833190.754314486,0.6926,0.6926,26175040.996451624,0.6512,0.6512,27210618.07200361,0.7119,0.7119,27772154.226486757,0.6201,0.6201,15056809.063471727,0.6778,0.6778,12569255.642953306,0.6439,0.6439,32983415.00782921,0.686,0.686,67197479.89965077,-0.0,117810404.13630082,0.4316
126,16749622.931595208,0.6888,0.6888,62563890.2915964,0.654,0.654,133390696.17774646,0.7116,0.7116,50105615.36680508,0.6198,0.6198,19815066.88311077,0.6764,0.6764,43200493.43856059,0.6461,0.6461,28044419.797523066,0.6856,0.6856,153437179.34307605,-0.0,52555951.88580669,0.4312
127,20682205.898320615,0.6812,0.6812,116584103.8628913,0.6439,0.6439,277625213.7854073,0.697,0.697,77542637.29136926,0.6077,0.6077,37084986.93551547,0.6718,0.6718,77687853.28313088,0.6408,0.6408,50222580.36911836,0.6722,0.6722,311077528.6749301,-0.0,52970678.44889644,0.4312
128,19473927.473843955,0.6778,0.6778,161763988.70920065,0.6488,0.6488,363459863.5808487,0.6954,0.6954,91004266.8969888,0.6105,0.6105,49908435.74371118,0.6699,0.6699,104746115.75121062,0.6446,0.6446,67530623.18077607,0.6788,0.6788,402919574.1032562,-0.0,54047596.271027006,0.4312
129,19321445.456459064,0.6816,0.6816,190438369.16716158,0.6563,0.6563,424497141.69382197,0.6976,0.6976,94044216.96701592,0.6156,0.6156,51917121.52840804,0.6746,0.6746,120230410.15401517,0.6532,0.6532,76760243.2764098,0.6843,0.6843,464094244.6233428,-0.0,58563471.17422864,0.4312
130,19011511.039510086,0.6812,0.6812,225177246.97526488,0.6618,0.6618,470380504.4218483,0.6934,0.6934,97583327.76606897,0.6105,0.6105,52081565.43935679,0.6751,0.6751,137400311.5461822,0.6558,0.6558,89137834.76739666,0.6817,0.6817,509794085.45306045,-0.0,46512014.149168536,0.4316
131,18089182.533380337,0.6791,0.6791,244226058.50147262,0.6554,0.6554,484770245.0693669,0.6837,0.6837,94202763.06491438,0.5963,0.5963,53615837.12394743,0.6686,0.6686,141190370.54121998,0.6492,0.6492,90688140.5860803,0.6739,0.6739,539458306.2103655,-0.0,43354516.89235617,0.4317
132,19352746.50649151,0.6771,0.6771,268278240.13999298,0.6613,0.6613,505481501.5239305,0.6871,0.6871,95533109.18506393,0.5964,0.5964,55938905.11597717,0.6699,0.6699,151528098.56501845,0.6533,0.6533,96124067.94310363,0.6708,0.6708,556913801.2719388,-0.0,31860598.37409893,0.4316
133,34154444.02269801,0.6863,0.6863,284554370.9150804,0.6606,0.6606,547710668.2284303,0.6935,0.6935,99834201.1205674,0.6059,0.6059,64946213.29965784,0.6728,0.6728,166958230.98918125,0.6506,0.6506,113115996.51385212,0.6803,0.6803,610614583.5896132,-0.0,34595034.235899545,0.4312
134,43076623.5288721,0.6927,0.6927,281768125.5202518,0.6621,0.6621,514162177.4174632,0.7037,0.7037,96721522.46608184,0.6207,0.6207,62020738.28360886,0.6777,0.6777,147264763.82030052,0.6502,0.6502,114951143.08909585,0.6919,0.6919,572322496.7014108,-0.0,49110579.85531508,0.4312
135,45832349.163483925,0.6996,0.6996,256376584.6846419,0.6724,0.6724,454727643.46162766,0.7063,0.7063,81511297.53793393,0.6345,0.6345,58930361.46142589,0.6759,0.6759,125358680.59351513,0.654,0.654,104441021.0798762,0.7034,0.7034,536640631.7597428,-0.0,103542681.85462984,0.4312
136,51977094.495201,0.7102,0.7102,233143372.81558385,0.6794,0.6794,376887149.72428536,0.7123,0.7123,68144499.47430454,0.6481,0.6481,53672929.94222506,0.6733,0.6733,100260702.07044609,0.66,0.66,96000731.81733839,0.7145,0.7145,477496931.88924754,-0.0,208566645.05249918,0.4312
137,55505175.106905095,0.7115,0.7115,172286382.94982412,0.6832,0.6832,278738185.25512606,0.7121,0.7121,51595616.9275517,0.6497,0.6497,47728423.46930914,0.6735,0.6735,67583676.6672142,0.6629,0.6629,74380738.9967188,0.7166,0.7166,414976275.33896184,-0.0,307875664.168821,0.4316
138,59850040.31132896,0.7112,0.7112,129851408.30340897,0.6825,0.6825,161256474.71026984,0.7077,0.7077,34802268.90280606,0.647,0.647,35634114.66295026,0.6666,0.6666,36913594.70171122,0.6569,0.6569,68237005.39333045,0.7134,0.7134,273913376.2684092,-0.0,357856675.19741637,0.4317
139,49855567.16428696,0.7083,0.7083,60970959.51489877,0.6823,0.6823,49949104.7159309,0.7072,0.7072,28019662.11085138,0.6399,0.6399,20028826.686486818,0.6674,0.6674,11064897.244277425,0.6565,0.6565,38814164.1511191,0.7102,0.7102,118223372.23313324,-0.0,353388428.5508908,0.4316
140,40626529.93905146,0.7048,0.7048,92918788.75666939,0.6788,0.6788,140575595.57779762,0.7074,0.7074,45357772.31893761,0.6427,0.6427,38576115.77184696,0.6708,0.6708,38364755.55949204,0.6604,0.6604,57439305.35489427,0.7058,0.7058,253799295.0343887,-0.0,348045262.2152908,0.4312
141,41706106.77996569,0.7065,0.7065,132225165.31844698,0.6827,0.6827,251739052.37842116,0.703,0.703,73111672.62620643,0.6539,0.6539,51557342.13777317,0.6653,0.6653,78081060.35072176,0.6623,0.6623,88598197.47455654,0.7096,0.7096,379937025.3489676,-0.0,345635336.97617763,0.4312
142,38841150.55599342,0.7101,0.7101,175433444.21803328,0.6752,0.6752,322398789.91626155,0.7033,0.7033,101729264.09771773,0.6574,0.6574,64728094.16525238,0.6617,0.6617,107750429.04040883,0.6586,0.6586,109605622.22812834,0.6992,0.6992,541472486.8286681,-0.0,329241771.9238177,0.4312
143,36516317.777942196,0.7091,0.7091,208193401.52422458,0.6758,0.6758,401191558.8722236,0.7042,0.7042,127726632.32720688,0.6584,0.6584,83245592.4507723,0.6608,0.6608,135118643.22341082,0.6579,0.6579,123569527.95955698,0.7006,0.7006,633668570.6237491,-0.0,297426929.5112029,0.4312
144,35546653.958766855,0.7085,0.7085,238268744.0138841,0.6725,0.6725,446945335.56822115,0.7089,0.7089,139514660.6534695,0.6608,0.6608,91980612.87045929,0.6606,0.6606,148896969.92843556,0.6559,0.6559,130721238.77111925,0.7006,0.7006,677293300.180551,-0.0,274683366.03916734,0.4316
145,29484465.075749896,0.7062,0.7062,275328469.78411555,0.6686,0.6686,495509733.4501645,0.7069,0.7069,149974961.11536354,0.6642,0.6642,107153708.83314762,0.6578,0.6578,168075998.05934158,0.6559,0.6559,144238284.78906247,0.6966,0.6966,720903368.9967701,-0.0,202949664.27211097,0.4317
146,28160658.79638066,0.7058,0.7058,287365625.49337214,0.6579,0.6579,514259274.3098504,0.7032,0.7032,150646079.45612833,0.6638,0.6638,110514267.09844708,0.6539,0.6539,164313133.7451924,0.6522,0.6522,148778031.71134487,0.6892,0.6892,758802972.2802923,-0.0,166997187.84174302,0.4316
147,40043854.06882933,0.7047,0.7047,321221527.6332628,0.6618,0.6618,537171685.88484,0.7068,0.7068,148540434.26104662,0.6599,0.6599,116076339.12873763,0.6613,0.6613,162219865.8931436,0.6586,0.6586,169240892.50114074,0.6901,0.6901,779271700.0243528,-0.0,171883289.50293174,0.4312
148,40616155.679372355,0.7031,0.7031,322841127.2241533,0.6611,0.6611,533180691.81925654,0.7032,0.7032,148413645.6766112,0.6575,0.6575,112491054.35067476,0.6604,0.6604,154804313.51052764,0.6585,0.6585,170895457.1092588,0.6817,0.6817,824447361.6847562,-0.0,173486061.7795049,0.4312
149,44559828.098245546,0.6985,0.6985,332687904.8534216,0.6564,0.6564,525438519.2683891,0.7028,0.7028,155819687.41913536,0.6516,0.6516,109139272.23245446,0.6614,0.6614,157278352.41120392,0.6564,0.6564,179502097.45330918,0.6719,0.6719,857076815.6446731,-0.0,208204985.1093535,0.4312
150,52521499.01356718,0.6947,0.6947,329728985.3564656,0.6511,0.6511,509526243.3495732,0.7007,0.7007,165524835.37589198,0.6411,0.6411,116553327.85673305,0.6696,0.6696,153528345.07357836,0.6491,0.6491,172325710.92438647,0.6659,0.6659,874843439.949858,-0.0,221605141.83920082,0.4312
151,48940986.5487914,0.6926,0.6926,305877452.04021555,0.6535,0.6535,422444730.95345646,0.6972,0.6972,176797266.3889885,0.6377,0.6377,87566086.16319595,0.6677,0.6677,141646426.47462195,0.6469,0.6469,162143665.49600092,0.6637,0.6637,712146166.2102197,-0.0,207812118.01024595,0.4316
152,30729817.36346025,0.6888,0.6888,197230678.05758685,0.6521,0.6521,286884014.7412601,0.6969,0.6969,123815971.67397274,0.6305,0.6305,54943641.31392843,0.6689,0.6689,89720008.42791377,0.6471,0.6471,101438945.23415104,0.6609,0.6609,530927695.7823884,-0.0,178577052.09100553,0.4317
153,32918038.200807936,0.6941,0.6941,100168519.42139634,0.6454,0.6454,125727793.71225859,0.6992,0.6992,68239195.26793584,0.6405,0.6405,29380598.692168795,0.6657,0.6657,43854906.69394502,0.6474,0.6474,63380863.42527337,0.6646,0.6646,310016266.2948309,-0.0,191611307.64762083,0.4316
154,40358866.35540173,0.698,0.698,121849061.80519663,0.6496,0.6496,152220323.35795888,0.7033,0.7033,71728176.02965385,0.6369,0.6369,41271943.12415866,0.6722,0.6722,47201195.4536153,0.6495,0.6495,78543902.11364827,0.6701,0.6701,367260171.20231766,-0.0,237464530.5228267,0.4312
155,50927015.81977208,0.6978,0.6978,138284588.80557808,0.6478,0.6478,188356084.3433386,0.7124,0.7124,82458206.6580197,0.6263,0.6263,53447462.46222059,0.6769,0.6769,59431830.23878054,0.6478,0.6478,103944019.79436082,0.6667,0.6667,430522188.5423502,-0.0,275000597.73913056,0.4312
156,53289845.292175226,0.7028,0.7028,139677022.71751416,0.6485,0.6485,183050780.35862124,0.7152,0.7152,84412231.43331502,0.6276,0.6276,56482383.305656105,0.6775,0.6775,61772482.488189355,0.6498,0.6498,111111760.69964804,0.6681,0.6681,460781944.59341365,-0.0,292730561.381636,0.4312
157,51015338.40463877,0.703,0.703,141971256.51344535,0.6454,0.6454,195992920.8074546,0.7146,0.7146,89197855.63060044,0.6247,0.6247,59902339.44135996,0.6775,0.6775,68600404.86811823,0.6499,0.6499,112476586.36294939,0.6645,0.6645,476527987.37387335,-0.0,268373912.70692095,0.4312
158,58661868.822026595,0.7072,0.7072,135583929.87869257,0.6495,0.6495,201554257.16795242,0.7151,0.7151,98636623.73230913,0.6271,0.6271,59793368.238700934,0.6797,0.6797,72962065.22200154,0.6511,0.6511,112129538.75986968,0.6668,0.6668,454370732.43406904,-0.0,237535134.79587778,0.4316
159,49974644.96413726,0.71,0.71,132737311.72941735,0.6497,0.6497,188010383.76732203,0.7148,0.7148,111974798.93254194,0.6261,0.6261,65674282.83094031,0.6791,0.6791,83428243.7176934,0.6502,0.6502,118496664.07913175,0.6668,0.6668,378353264.8531084,-0.0,220761994.18527922,0.4317
160,46830286.68232282,0.7118,0.7118,115501846.04583584,0.6533,0.6533,174942192.56465843,0.7149,0.7149,131330001.17783397,0.6293,0.6293,69910452.47512351,0.6817,0.6817,91895660.52535853,0.6485,0.6485,122049820.83148552,0.6736,0.6736,370496343.72317404,-0.0,163493567.4386619,0.4316
161,55704213.20479166,0.709,0.709,115440729.40686163,0.6528,0.6528,180309989.18272087,0.7097,0.7097,154720186.7254867,0.6228,0.6228,78472738.11371948,0.678,0.678,115846082.67646955,0.6431,0.6431,131287708.93752395,0.6639,0.6639,305016693.9497236,-0.0,160394256.44446164,0.4312
162,62136092.08159602,0.7081,0.7081,103633730.37806056,0.6553,0.6553,169032734.14344728,0.7085,0.7085,192863392.0467117,0.616,0.616,87614612.11728038,0.6784,0.6784,123376394.0839028,0.6428,0.6428,146467812.19286492,0.6644,0.6644,291705838.27768356,-0.0,129560537.83142772,0.4312
163,60870916.03828286,0.7031,0.7031,101317029.11889441,0.6523,0.6523,153335325.84716526,0.7042,0.7042,224756670.09136757,0.5999,0.5999,91168495.84175645,0.6785,0.6785,141843847.91949585,0.642,0.642,148233725.91281027,0.6608,0.6608,281223787.2364234,-0.0,111388026.18832344,0.4312
164,69563172.48020591,0.7029,0.7029,103510554.82966849,0.6518,0.6518,154934997.5955318,0.7022,0.7022,267739730.11580783,0.6015,0.6015,98136052.63160616,0.6788,0.6788,158783447.9147496,0.6456,0.6456,158126102.5305978,0.6606,0.6606,297441012.37695926,-0.0,135964907.58367118,0.4312
165,68488961.54730283,0.7034,0.7034,104719324.32382725,0.6505,0.6505,151686263.66175345,0.7007,0.7007,300169299.46176106,0.5973,0.5973,96172094.80364195,0.6785,0.6785,166495654.9555956,0.6465,0.6465,155415368.29582188,0.6555,0.6555,286848814.0385999,-0.0,139526401.98396757,0.4316
166,66065190.472122386,0.7041,0.7041,101804551.91056003,0.6483,0.6483,135253612.26272646,0.6992,0.6992,336556414.4982631,0.5929,0.5929,101130085.93821302,0.6759,0.6759,179304969.96361142,0.6467,0.6467,135592543.3318543,0.6488,0.6488,291520777.7121296,-0.0,135646220.52652347,0.4317
167,59468536.859955005,0.6946,0.6946,91252318.71252216,0.6439,0.6439,121307919.72964358,0.6901,0.6901,349919274.8744158,0.5721,0.5721,84470498.83387081,0.6696,0.6696,174972467.56209585,0.6417,0.6417,110254502.7303842,0.6372,0.6372,249092146.8764734,-0.0,120001178.04574895,0.4316
168,54593406.82656311,0.7002,0.7002,83512131.87752691,0.6504,0.6504,115899875.68906258,0.7019,0.7019,313793061.39829326,0.59,0.59,76481637.39621173,0.6806,0.6806,148076033.16217306,0.6447,0.6447,96107153.3143083,0.6506,0.6506,214298103.94314057,-0.0,118584434.78095944,0.4312
169,50406916.64050489,0.705,0.705,74967550.13317688,0.6453,0.6453,111663158.76495314,0.7092,0.7092,268877707.74534315,0.5998,0.5998,71890841.56815495,0.6829,0.6829,129871403.86506853,0.6508,0.6508,89631198.17484696,0.6598,0.6598,191821489.32012603,-0.0,119369105.55654906,0.4312
170,42249972.51108976,0.7037,0.7037,55048288.17346886,0.6453,0.6453,81466841.86555578,0.7141,0.7141,196836820.2005199,0.6054,0.6054,60791857.08448221,0.6853,0.6853,95269011.55323444,0.6506,0.6506,69864398.19915165,0.6667,0.6667,138097642.55679062,-0.0,100624508.14434774,0.4312
171,32942726.292967644,0.7054,0.7054,46069647.99769641,0.6488,0.6488,67728470.74595639,0.7137,0.7137,131902693.68302195,0.6086,0.6086,46757284.96024074,0.683,0.683,69811616.16185513,0.6482,0.6482,51670102.666986816,0.6659,0.6659,101991967.31124125,-0.0,84103849.68767469,0.4312
